,year,state,state_abbr,county,commodity,AREA HARVESTED grain,AREA HARVESTED silage,AREA PLANTED,PRODUCTION grain,PRODUCTION silage,YIELD grain,YIELD silage
62,2021,CALIFORNIA,CA,OTHER COUNTIES,CORN,29080.0,25900.0,302700.0,4713000.0,682000.0,162.1,26.5
63,2021,CALIFORNIA,CA,SACRAMENTO,CORN,6870.0,,18900.0,1904000.0,,277.1,
64,2021,CALIFORNIA,CA,SAN JOAQUIN,CORN,7330.0,27400.0,35100.0,1616000.0,837000.0,220.5,30.5
65,2021,CALIFORNIA,CA,STANISLAUS,CORN,,24100.0,,,723000.0,,30.0
66,2021,CALIFORNIA,CA,SUTTER,CORN,2150.0,,3000.0,382000.0,,177.7,
67,2021,CALIFORNIA,CA,TULARE,CORN,,98600.0,,,2796000.0,,28.5
68,2021,COLORADO,CO,ADAMS,CORN,24700.0,,29100.0,1003000.0,,40.6,
69,2021,COLORADO,CO,BENT,CORN,4420.0,,5400.0,819000.0,,185.3,
70,2021,COLORADO,CO,CHEYENNE,CORN,67300.0,,76800.0,4556000.0,,67.7,
71,2021,COLORADO,CO,DELTA,CORN,3300.0,,4300.0,712000.0,,215.8,
72,2021,COLORADO,CO,ELBERT,CORN,4200.0,,8000.0,110900.0,,26.4,
73,2021,COLORADO,CO,KIOWA,CORN,25900.0,,29900.0,1015000.0,,39.2,
74,2021,COLORADO,CO,KIT CARSON,CORN,193600.0,,226500.0,20618000.0,,106.5,
75,2021,COLORADO,CO,LINCOLN,CORN,18000.0,,22600.0,684000.0,,38.0,
76,2021,COLORADO,CO,LOGAN,CORN,85100.0,,97800.0,13105000.0,,154.0,
77,2021,COLORADO,CO,MESA,CORN,2570.0,,4100.0,570000.0,,221.8,
78,2021,COLORADO,CO,MORGAN,CORN,51200.0,,66700.0,9882000.0,,193.0,
79,2021,COLORADO,CO,OTHER COUNTIES,CORN,161540.0,,197700.0,22435100.0,,138.9,
80,2021,COLORADO,CO,PHILLIPS,CORN,102500.0,,118000.0,14186000.0,,138.4,
81,2021,COLORADO,CO,PUEBLO,CORN,4670.0,,5600.0,955000.0,,204.5,
82,2021,COLORADO,CO,WASHINGTON,CORN,109700.0,,131000.0,5123000.0,,46.7,
83,2021,COLORADO,CO,WELD,CORN,78300.0,,107500.0,13209000.0,,168.7,
84,2021,COLORADO,CO,YUMA,CORN,203000.0,,239000.0,38077000.0,,187.6,
85,2021,DELAWARE,DE,KENT,CORN,53900.0,,54500.0,10160000.0,,188.5,
